id,last,first,middle,birth,cell,tel
11111,Кюимабков,Евгений,Андреевич,1984-09-18,89688471894,84995280516
11112,Угянжюков,Михаил,Сергеевич,2000-10-03,89869181685,84956695048
11113,Юбниешцев,Яков,Яковлевич,1997-02-04,89037572022,84956316314
11114,Цунаемшов,Михаил,Евгеньевич,1984-08-10,89586569130,84982641951
11115,Циючцин,Юрий,Тимофеевич,1983-03-27,89963454826,84993171671
11116,Ожюмрин,Умар,Евгеньевич,1971-06-02,89367446821,84954396729
11117,Улатрин,Юрий,Николаевич,1998-08-05,89834807817,84955833615
11118,Хялюзявич,Тимофей,Романович,1986-12-07,89093655112,84981140672
11119,Бюижшин,Борис,Романович,1974-04-08,89193238572,84983085138
11120,Юцахюшпов,Борис,Харитонович,2001-07-15,89582091035,84959192326
11121,Щозолин,Николай,Сергеевич,1978-05-13,89774869529,84999822256
11122,Ожурсыров,Эмануил,Дмитриевич,1979-11-26,89589656140,84954533774
11123,Аслоючлов,Фёдор,Умарович,1977-05-30,89173042881,84952559854
11124,Ныопкуцев,Роман,Георгиевич,1971-07-08,89771795460,84988876602
11125,Мящуцев,Борис,Романович,1984-06-16,89065696286,84983904110
11126,Пыцулин,Яков,Сергеевич,1987-05-02,89159332603,84985985609
11127,Семиолров,Умар,Кириллович,1991-01-05,89655325539,84989900855
11128,Офкююспин,Кирилл,Иосифович,1998-12-10,89863580262,84951689782
11129,Мювоижшов,Евгений,Михаилович,1983-08-18,89054223774,84993710330
11130,Ижажпов,Олег,Тимофеевич,1991-07-18,89952405976,84993407396
11131,Тоюцпыпов,Георгий,Владимирович,1970-10-30,89771816642,84997535457
11132,Щупуятшов,Михаил,Яковлевич,1990-07-22,89259806647,84994035915
11133,Оцанлов,Борис,Харитонович,1993-07-18,89263287505,84958232941
11134,Юпфарин,Фёдор,Юрьевич,1989-07-24,89838876096,84954157368
11135,Тябыунцов,Владимир,Сергеевич,1974-05-16,89586875201,84997471114
11136,Шуюбцин,Николай,Георгиевич,1970-10-09,89966624407,84986853207
11137,Дегокошов,Михаил,Петрович,1999-03-02,89806053086,84992281870
11138,Кенюарнин,Владимир,Иосифович,1982-04-27,89638400520,84993943970
11139,Бемыягко,Михаил,Владимирович,1984-05-18,89294309961,84995318279
11140,Кеихегнов,Сергей,Фёдорович,1976-04-20,89032583085,84989781900
