id,last,first,middle,birth,cell,tel
0,Лиобутнин,Олег,Владимирович,1970-10-04,89776986173,84992075449
1,Ухлако,Иосиф,Эмануилович,1976-12-25,89293205759,84959987075
2,Яханнов,Фёдор,Сергеевич,1973-06-29,89678876449,84998558759
3,Удюлбишин,Кирилл,Николаевич,1982-10-28,89034835110,84997061306
4,Ехюцков,Андрей,Олегович,1995-12-15,89862464703,84953810124
5,Ямугкин,Сергей,Фёдорович,1994-06-21,89104082103,84956247897
6,Лятюлов,Роман,Михаилович,1993-10-08,89063842896,84987046845
7,Сиявнин,Сергей,Михаилович,1999-01-06,89698003223,84981669090
8,Юпифязнов,Роман,Леонидович,1993-11-10,89991857852,84951410222
9,Азпяпов,Николай,Дмитриевич,1971-05-29,89261334324,84991768822
10,Овмоажлов,Евгений,Харитонович,1997-03-27,89012526162,84953128938
11,Рохяцин,Яков,Фёдорович,1995-01-11,89164274552,84992800868
12,Яхнюрин,Харитон,Андреевич,1981-03-22,89583474212,84954670208
13,Оргюрин,Евгений,Дмитриевич,1986-12-15,89699466877,84989067059
14,Азюнко,Роман,Андреевич,1998-11-04,89697812367,84991743331
15,Сукелашов,Харитон,Умарович,1988-09-22,89992049329,84991279706
16,Шеешпин,Роман,Умарович,1991-09-09,89294866245,84955977817
17,Фясозюпов,Николай,Георгиевич,1974-11-07,89639202373,84991696933
18,Узюжмяко,Дмитрий,Юрьевич,1998-12-11,89581336463,84952889897
19,Лыбимярин,Евгений,Георгиевич,1996-10-07,89172382205,84953636056
20,Зуялций,Владимир,Умарович,1997-10-22,89867693354,84953182019
21,Ефичецшов,Николай,Яковлевич,1989-09-26,89681541153,84998343448
22,Нукеоцпин,Михаил,Харитонович,1972-02-28,89654457549,84958477491
23,Окампюко,Николай,Георгиевич,1995-02-22,89167903048,84981388974
24,Няимшин,Сергей,Михаилович,1986-10-14,89257682778,84955511006
25,Цахивич,Эмануил,Умарович,1989-04-17,89262735848,84952765553
26,Куякко,Владимир,Тимофеевич,1982-05-02,89168703802,84985076253
27,Ибацкин,Роман,Иосифович,1987-11-06,89166459361,84988654424
28,Есюлшуков,Роман,Евгеньевич,1977-01-16,89091296135,84954268655
29,Етемций,Харитон,Иосифович,1989-08-30,89155300164,84957533134
30,Гоялшов,Фёдор,Николаевич,1990-03-23,89584724740,84955615653
31,Пагомуцев,Борис,Тимофеевич,1975-07-22,89034175587,84982108286
32,Емецсяров,Тимофей,Сергеевич,1972-03-02,89054852198,84959886218
33,Евябвупов,Николай,Петрович,1976-03-09,89369624874,84988782619
34,Чаягешвич,Харитон,Сергеевич,1976-11-21,89686605388,84984918904
35,Удагняшов,Николай,Умарович,1994-03-20,89197610192,84952332616
36,Очарцин,Яков,Яковлевич,1988-05-16,89649392254,84996475728
37,Кяеснин,Тимофей,Георгиевич,1986-02-13,89853631675,84984758511
38,Елячзалов,Георгий,Фёдорович,1977-06-23,89672001399,84955013362
39,Ажвеко,Фёдор,Владимирович,1985-12-04,89292376432,84992442455
40,Уфкутюков,Олег,Фёдорович,1996-05-27,89646050511,84998865502
41,Бесолов,Олег,Евгеньевич,1990-08-09,89953077636,84988042562
42,Таилшарин,Олег,Кириллович,1986-12-23,89151335450,84993212280
43,Ныфякин,Харитон,Харитонович,1996-10-22,89369799843,84992441274
44,Щуиско,Тимофей,Яковлевич,1986-06-03,89583502450,84992360358
45,Амняцов,Эмануил,Яковлевич,1973-09-12,89654077112,84986849746
46,Южфуров,Эмануил,Эмануилович,1984-10-27,89839697973,84956702318
47,Дынуоспин,Николай,Умарович,2001-02-08,89672228261,84986592342
48,Одноцов,Леонид,Яковлевич,1994-04-24,89808240361,84956239646
49,Реишеццин,Дмитрий,Евгеньевич,1975-08-02,89867475916,84998010262
